image_id,composite_caption,composite_rank,coco_caption_1,coco_caption_2,coco_caption_3,coco_caption_4,coco_caption_5,original_caption,original_rank,hallucination,halluc_caption_1,halluc_caption_2,halluc_caption_3,halluc_clipscore_1,halluc_clipscore_2,halluc_clipscore_3,halluc_rank_1,halluc_rank_2,halluc_rank_3
000000341865.jpg,"A small white dog, after having its shampoo, is being dried off by two women with a hair dryer. One woman holds the small white dog up while the other is using the blow dryer to dry its fur. The dog is under a blanket as the women focus on ensuring it is dried off properly.",1,A white dog under a blanket being blow dried.,A small white dog being dried off by two women with a hair dryer.,"After having its shampoo, the little white dog is getting his hair blown dry.",A girl holds up a small white dog near another girl who is holding a blow dryer.,The woman are drying off the small wet dog. ,A girl holds up a small white dog near another girl who is holding a blow dryer.,1,0,"A small black dog, after having its shampoo, is being dried off by two women with a hair dryer. One woman holds the small black dog up while the other is using the blow dryer to dry its fur. The dog is under a blanket as the women focus on ensuring it is dried off properly.","A small black dog, after having its shampoo, is being dried off by two women with a hair dryer. One woman holds the small black dog up while the other is using the blow dryer to dry its fur. The dog is under a blanket as the women focus on ensuring it is dried off properly.","A small black dog, after having its shampoo, is being dried off by two women with a hair dryer. One woman holds the small black dog up while the other is using the blow dryer to dry its fur. The dog is under a blanket as the women focus on ensuring it is dried off properly.",0.908203125,0.908203125,0.908203125,1.0,1.0,1.0
000000050753.jpg,"The kitchen is a modern, brightly lit space located in a residential home area, featuring essential appliances such as an oven, stove, sink, microwave, and refrigerator. It includes a breakfast counter and is designed with white appliances and tile flooring, creating a functional and inviting environment for cooking and dining.",1,"A kitchen with an oven, stove , sink, microwave and refrigerator.",Modern brightly lit kitchen of residential home area.,a kitchen with a stove a sink and a refrigerator,"A home kitchen with refrigerator, range, sink and breakfast counter.",A kitchen with white appliances and tile flooring,a kitchen with a stove a sink and a refrigerator,1,0,"The kitchen is a rustic, dimly lit space located in a commercial building, featuring essential appliances such as an oven, stove, sink, microwave, and refrigerator. It includes a breakfast counter and is designed with stainless steel appliances and hardwood flooring, creating a functional and inviting environment for cooking and dining.","The kitchen is a rustic, dimly lit space located in an urban industrial area, featuring essential appliances such as an oven, stove, sink, microwave, and refrigerator. It includes a breakfast counter and is designed with black appliances and hardwood flooring, creating a functional and inviting environment for cooking and dining.","The kitchen is a modern, brightly lit space located in a commercial building, featuring essential appliances such as an oven, stove, sink, microwave, and refrigerator. It includes a breakfast counter and is designed with white appliances and tile flooring, creating a functional and inviting environment for cooking and dining.",0.82958984375,0.83203125,0.83544921875,2.0,1.0,1.0
000000355652.jpg,"A woman is feeding a giraffe from her hand while standing on a platform that is at giraffe-height. She holds her hand out to the giraffe, which is near a fence, allowing her to interact closely with the animal. This scene takes place at a wildlife club, where she is engaged in the experience of feeding and touching the giraffe over the fence.",3,A woman feeds a giraffe from her hand.,Lady feeding a giraffe from a platform at giraffe-height,A woman holds her hand out to a giraffe near a fence.,A woman feeds a giraffe at a wildlife club. ,A woman touches a giraffe over a fence.,A woman holds her hand out to a giraffe near a fence.,1,0,"A woman is feeding a giraffe from her hand while standing on a platform that is at elephant-height. She holds her hand out to the giraffe, which is near a fence, allowing her to interact closely with the animal. This scene takes place at a wildlife club, where she is engaged in the experience of feeding and touching the giraffe over the fence.","A woman is feeding a giraffe from her hand while standing on a platform that is at elephant-height. She holds her hand out to the giraffe, which is near a fence, allowing her to interact closely with the animal. This scene takes place at a wildlife club, where she is engaged in the experience of feeding and touching the giraffe over the fence.","A woman is feeding a giraffe from her hand while standing on the ground. She holds her hand out to the giraffe, which is near a fence, allowing her to interact closely with the animal. This scene takes place at a wildlife club, where she is engaged in the experience of feeding and touching the giraffe over the fence.",0.82763671875,0.82763671875,0.826171875,3.0,3.0,3.0
000000367065.jpg,"A man is holding a baby while both are brushing their teeth, with toothbrushes in their mouths. They are positioned for the cameras, showcasing the activity of dental hygiene together.",1,a guy that is brushing his teeth and a baby too,A man and a baby with toothbrushes in their mouth. ,A man holding a child while they both brush their teeth.,A man and an infant brush their teeth for the cameras.,Both a man and the baby he is holding have toothbrushes in their mouths.,A man and an infant brush their teeth for the cameras.,1,0,"A man is holding a puppy while both are brushing their teeth, with toothbrushes in their mouths. They are positioned for the cameras, showcasing the activity of dental hygiene together.","A woman is holding a baby while both are brushing their teeth, with toothbrushes in their mouths. They are positioned for the cameras, showcasing the activity of dental hygiene together.","A dog is holding a baby while both are brushing their teeth, with toothbrushes in their mouths. They are positioned for the cameras, showcasing the activity of dental hygiene together.",0.8515625,0.783203125,0.7607421875,2.0,8.0,10.0
000000335807.jpg,"The small bathroom features a black carpet on the floor, complemented by a white toilet and a sink. It is equipped with a shower curtain and includes a window that provides natural light. The walls are painted a mustard color, contributing to the overall aesthetic of the room.",20,"Small bathroom with rug, sink, toilet, and shower curtain.",A bathroom that has a black carpet on the floor.,A white toilet and a sink in a small room.,"A bathroom with a window, sink and toilet.",This is a bathroom that is painted an ugly mustard color.,"Small bathroom with rug, sink, toilet, and shower curtain.",39,0,"The small bathroom features a white carpet on the floor, complemented by a black toilet and a sink. It is equipped with a shower curtain and includes a window that provides natural light. The walls are painted a mustard color, contributing to the overall aesthetic of the room.","The small bathroom features a black carpet on the floor, complemented by a white toilet and a sink. It is equipped with a shower curtain and includes a window that provides natural light. The walls are painted a bright blue color, contributing to the overall aesthetic of the room.","The small bathroom features a blue carpet on the floor, complemented by a white toilet and a sink. It is equipped with a shower curtain and includes a window that provides natural light. The walls are painted a mustard color, contributing to the overall aesthetic of the room.",0.8212890625,0.7734375,0.79541015625,17.0,35.0,26.0
000000113023.jpg,"On a table, there are slices of deep dish pizza arranged on plates, with a piece of pizza placed beside a beer. The table is filled with various plates of pizza, accompanied by drinks and toppings. Additionally, a slice of pizza is sitting on top of a white plate, contributing to the overall assortment of food on the table.",19,Slices of deep dish pizza on plate on a table.,a piece of pizza and a beer on a table,A table that has plates with pizza on them.,"The table is filled with pizza, drinks,  and toppings.",A slice of pizza sitting on top of a white plate.,a piece of pizza and a beer on a table,154,0,"On a table, there are slices of thin crust pizza arranged on plates, with a piece of pizza placed beside a beer. The table is filled with various plates of pizza, accompanied by drinks and toppings. Additionally, a slice of pizza is sitting on top of a white plate, contributing to the overall assortment of food on the table.","On a table, there are slices of thin crust pizza arranged on plates, with a piece of pizza placed beside a soda. The table is filled with various plates of pizza, accompanied by drinks and toppings. Additionally, a slice of pizza is sitting on top of a blue plate, contributing to the overall assortment of food on the table.","On a table, there are slices of thin crust pizza arranged on plates, with a piece of pizza placed beside a beer. The table is filled with various plates of pizza, accompanied by drinks and toppings. Additionally, a slice of pizza is sitting on top of a white plate, contributing to the overall assortment of food on the table.",0.763671875,0.8017578125,0.763671875,83.0,36.0,83.0
000000314019.jpg,"A woman in a red and pink striped shirt is sitting on the grass outside of a building, using her cell phone. She appears engaged with the device as she plays or checks for information, combining elements of relaxation and technology.",42,A woman in a red and pink striped shirt sitting on grass using a cell phone.,an image of a girl sitting down playing with her cellphone,A woman checks her cell phone outside of a building.,a person sitting down and using a cellular phone.,A woman sits and plays on her phone.,A woman sits and plays on her phone.,65,0,"A man in a red and pink striped shirt is sitting on the grass outside of a building, using his laptop. He appears engaged with the device as he plays or checks for information, combining elements of relaxation and technology.","A woman in a blue and yellow striped shirt is sitting on the grass outside of a building, using her laptop. She appears engaged with the device as she plays or checks for information, combining elements of relaxation and technology.","A woman in a blue and yellow striped shirt is sitting on the grass outside of a building, using her laptop. She appears engaged with the device as she plays or checks for information, combining elements of relaxation and technology.",0.65234375,0.75390625,0.75390625,196.0,46.0,46.0
000000218917.jpg,"The donut shop features a bakery counter showcasing a large assortment of donuts and pastries, all displayed prominently beneath a menu sign. This store offers many different types of donuts, highlighting its diverse selection. Customers can browse through an array of options, making it an inviting place for anyone seeking a variety of sweet treats.",1,An assortment of different donuts at a donut shop.,"A store selling donuts, with a large assortment being displayed.",A bakery that has many different types of doughnuts.,A bakery counter containing donuts and pastries beneath a menu sign.,A bakery with several different kinds of donuts,A bakery with several different kinds of donuts,1,0,"The donut shop features a bakery counter showcasing a large assortment of donuts and bagels, all displayed prominently beneath a menu sign. This store offers many different types of donuts, highlighting its diverse selection. Customers can browse through an array of options, making it an inviting place for anyone seeking a variety of sweet treats.","The donut shop features a bakery counter showcasing a small assortment of donuts and pastries, all displayed prominently beneath a menu sign. This store offers only a few types of donuts, highlighting its limited selection. Customers can browse through an array of options, making it an inviting place for anyone seeking a variety of sweet treats.","The donut shop features a bakery counter showcasing a large assortment of donuts and pastries, all displayed prominently beneath a menu sign. This store offers only one type of donut, highlighting its limited selection. Customers can browse through an array of options, making it an inviting place for anyone seeking a variety of sweet treats.",0.95263671875,0.9541015625,0.95166015625,1.0,1.0,1.0
000000113182.jpg,"A pair of metal scissors, silver and orange in color, is about to cut through a sheet. The scissors are positioned on a blue and purple fabric, where they lay open, revealing their unusual design. Surrounding the scissors are additional blue and purple materials, creating a colorful backdrop for the scene.",1,A pair of scissors are about to cut through the sheet. ,A pair of metal scissors on a purple fabric.,some silver and orange scissors and some blue and purple material,A pair of weird looking scissors sitting on top of a blue and purple cloth.,The scissors lay open on a blue colored fabric.,some silver and orange scissors and some blue and purple material,1,1,,,,,,,,,
000000345595.jpg,"A crowd of people is gathered inside, with several individuals holding small soccer balls in their hands. Among them, a man and a woman are signing autographs for fans. Additionally, there are several people standing around, some also holding small balls while one man is engaged in signing an autograph.",8,People holding small soccer balls in their hands.,A man and woman are signing autographs for fans.,A group of people holding some kind of balls ,Several people standing around with small balls in their hands while one man is signing one. ,a crowd of people are all gathered inside ,A group of people holding some kind of balls ,35,0,"A crowd of people is gathered outside, with several individuals holding small soccer balls in their hands. Among them, a man and a woman are signing autographs for fans. Additionally, there are several people standing around, some also holding small balls while one man is engaged in signing an autograph.","A crowd of people is gathered outside, with several individuals holding small basketballs in their hands. Among them, a man and a woman are signing autographs for fans. Additionally, there are several people standing around, some also holding small balls while one man is engaged in signing an autograph.","A crowd of people is gathered inside, with several individuals holding small basketballs in their hands. Among them, a man and a woman are signing autographs for fans. Additionally, there are several people standing around, some also holding small balls while one man is engaged in signing an autograph.",0.7197265625,0.728515625,0.732421875,9.0,8.0,7.0
000000061159.jpg,"A man is changing a flat tire on a car in the rain, while another man stands nearby holding an umbrella to shield him from the downpour. The scene includes various cars and a couple of people with umbrellas, highlighting the wet conditions as the men work together on the side of the road.",3,A couple of people with umbrellas and some cars.,A guy holding an umbrella watching another guy change a tire in the rain.,A man changing a tire on a car while another holds an umbrella in the rain.,"car with flat tire, two men in the rain , one changing tire, the other holding an umbrella",A man with an umbrella stands by a man changing a tire.,A guy holding an umbrella watching another guy change a tire in the rain.,1,1,,,,,,,,,
000000088117.jpg,"A brown dog is laying on a bed, covered with sheets and blankets while sleeping peacefully. The dog is positioned next to pillows and a nightstand, creating a cozy sleeping environment.",2,a dog laying in a bed under some covers,A brown dog covered with sheet while sleeping on a bed,a dog sleeping on a bed while covered with a blanket,A dog laying under some blankets on a bed.,A brown dog laying on bed next to pillows and a nightstand.,a dog laying in a bed under some covers,2,0,"A brown cat is laying on a bed, covered with sheets and blankets while sleeping peacefully. The cat is positioned next to pillows and a nightstand, creating a cozy sleeping environment.","A white cat is laying on a bed, covered with sheets and blankets while sleeping peacefully. The cat is positioned next to pillows and a nightstand, creating a cozy sleeping environment.","A white cat is laying on a bed, covered with sheets and blankets while sleeping peacefully. The cat is positioned next to pillows and a nightstand, creating a cozy sleeping environment.",0.78369140625,0.7412109375,0.7412109375,38.0,69.0,69.0
000000467146.jpg,"A person is cooking and flipping pancakes on a stove, using a skillet where pancakes are frying. There are side-by-side images displaying the pancakes being cooked, along with before and after photos of a man engaged in the pancake-making process. The individual is actively frying pancakes in a pan on the stove top.",1,Some one is cooking and flipping pancakes on a stove,Pancakes are cooking in a skillet on the stove.,A side by side picture of pancakes being cooked.,Before and after photos of a man making pancakes,A person frying some pancakes in a pan on a stove top.,A person frying some pancakes in a pan on a stove top.,1,0,"A person is cooking and flipping pancakes in an oven, using a skillet where pancakes are baking. There are side-by-side images displaying the pancakes being cooked, along with before and after photos of a man engaged in the pancake-making process. The individual is actively baking pancakes in a pan in the oven.","A person is baking and flipping pancakes in an oven, using a skillet where pancakes are frying. There are side-by-side images displaying the pancakes being cooked, along with before and after photos of a man engaged in the pancake-making process. The individual is actively frying pancakes in a pan on the stove top.","A person is cooking and flipping pancakes on an open fire, using a skillet where pancakes are frying. There are side-by-side images displaying the pancakes being cooked, along with before and after photos of a man engaged in the pancake-making process. The individual is actively frying pancakes in a pan over the open flames.",0.9111328125,0.92822265625,0.93017578125,3.0,1.0,1.0
000000545804.jpg,"A gray cat with green eyes and yellow eyes is viewed up close in a living room, wearing a blue collar and blue leash. The cat is looking directly at the camera, presenting a cute and captivating appearance.",4,A cat with a blue collar looking at camera.,A very cute looking cat viewed up close.,A gray cat wit ha blue leash starring into the camera.,a pretty gray cat with green eyes in a living room,a gray cat with yellow eyes wearing a blue collar,a pretty gray cat with green eyes in a living room,74,0,"A gray cat with green eyes and brown eyes is viewed up close in a living room, wearing a blue collar and blue leash. The cat is looking directly at the camera, presenting a cute and captivating appearance.","A gray cat with green eyes and blue eyes is viewed up close in a living room, wearing a blue collar and blue leash. The cat is looking directly at the camera, presenting a cute and captivating appearance.","A gray cat with green eyes and blue eyes is viewed up close in a living room, wearing a blue collar and blue leash. The cat is looking directly at the camera, presenting a cute and captivating appearance.",0.8857421875,0.869140625,0.869140625,3.0,4.0,4.0
000000385913.jpg,"At a military ceremony, a group of three people is cutting a sheet cake, using a sword for the cake cutting. Many onlookers, consisting of army personnel, are watching the event as the three individuals perform the cake cutting ritual.",5,A group of three people cutting a sheet cake.,Three people are cutting a cake at a military ceremony.,MILITARY CEREMONY WITH THREE PEOPLE CUTTING A CAKE,Three people cut a cake as many others look on.,cake cutting done with sword in a party of army personals.,A group of three people cutting a sheet cake.,1,0,"At a military ceremony, a group of five people is cutting a sheet cake, using a sword for the cake cutting. Many onlookers, consisting of army personnel, are watching the event as the three individuals perform the cake cutting ritual.","At a military ceremony, a group of three people is cutting a sheet cake, using a traditional knife for the cake cutting. Many onlookers, consisting of army personnel, are watching the event as the three individuals perform the cake cutting ritual.","At a military ceremony, a group of three people is cutting a sheet cake, using a knife for the cake cutting. Many onlookers, consisting of army personnel, are watching the event as the three individuals perform the cake cutting ritual.",0.810546875,0.80615234375,0.8251953125,5.0,5.0,5.0
000000189588.jpg,"A man holding a game controller for the Nintendo Wii is playing video games alongside another man, who is in a green shirt. They are being filmed as they engage in gameplay, using Wii remotes. In the vicinity, some other people are also participating in the video game session.",42,A man holding a game controller for the Nintendo Wii.,Two guys are being filmed while playing video games.,Two men with wii remotes playing video games.,some people are playing a video game ,A man in a white shirt plays with a remote while next to a man in a green shirt.,Two guys are being filmed while playing video games.,321,0,"A man holding a game controller for the PlayStation 5 is playing video games alongside another man, who is in a green shirt. They are being filmed as they engage in gameplay, using Wii remotes. In the vicinity, some other people are also participating in the video game session.","A man holding a game controller for the Nintendo Switch is playing video games alongside another man, who is in a green shirt. They are being filmed as they engage in gameplay, using Wii remotes. In the vicinity, some other people are also participating in the video game session.","A man holding a game controller for the Xbox 360 is playing video games alongside another man, who is in a green shirt. They are being filmed as they engage in gameplay, using Wii remotes. In the vicinity, some other people are also participating in the video game session.",0.6435546875,0.61474609375,0.64697265625,67.0,104.0,65.0
000000306830.jpg,"A black cat stands up on a ledge in a bathroom, where there is a counter filled with various bottles. The cat is exploring a shelf in the bathroom, getting into things that are stored there.",2,A cat stands up on a ledge full of bottles,The cat is on the counter in the bathroom.,A black cat getting into a shelf in the bathroom.,a cat is standing up in a bathroom,This cat is getting into things on the shelves.,A black cat getting into a shelf in the bathroom.,3,0,"A black dog stands up on a ledge in a bathroom, where there is a counter filled with various bottles. The dog is exploring a shelf in the bathroom, getting into things that are stored there.","A white cat stands up on a ledge in a bathroom, where there is a counter filled with various bottles. The cat is exploring a shelf in the bathroom, getting into things that are stored there.","A white cat stands up on a ledge in a bathroom, where there is a counter filled with various bottles. The cat is exploring a shelf in the bathroom, getting into things that are stored there.",0.798828125,0.8212890625,0.8212890625,8.0,4.0,4.0
000000541944.jpg,"A small brown and white dog is on a sandy beach, carrying a bright red frisbee in its mouth. The slender dog holds the frisbee, also referred to as a disc, as it stands on the beach.",1,A small brown and white dog holding a red frisbee in it's mouth.,A dog is on a sandy beach holding a bright red frisbee.,A dog on a beach carrying a frisbee.,The dog is carrying a frisbie in his mouth.,A slender dog on a beach with a disc in his mouth.,A dog on a beach carrying a frisbee.,1,0,"A large black and white dog is on a sandy beach, carrying a bright red frisbee in its mouth. The slender dog holds the frisbee, also referred to as a disc, as it stands on the beach.","A small black and white dog is on a sandy beach, carrying a bright red frisbee in its mouth. The slender dog holds the frisbee, also referred to as a disc, as it stands on the beach.","A small black and white cat is on a sandy beach, carrying a bright red frisbee in its mouth. The slender cat holds the frisbee, also referred to as a disc, as it stands on the beach.",0.9345703125,0.92333984375,0.81640625,1.0,1.0,3.0
000000099297.jpg,"A large brown bear is walking across a grass-covered forest, wandering out from the woods and occasionally observing something on the ground of a field. In its habitat at a zoo, a brown bear can be seen walking as well. Additionally, a huge brown bear stands at the edge of a small hill, surveying its surroundings.",4,A large brown bear walking across a grass covered forest.,A bear observing something on the ground of a field.,A brown bear wanders out from the woods.,A brown bear walking in its habitat at a zoo.,a huge brown bear standing at the edge of a small hill,A brown bear wanders out from the woods.,48,1,,,,,,,,,
000000378736.jpg,"A hand is holding up a hot dog in a bun that is adorned with pickles, ketchup, and mustard. The hot dog is partially wrapped in paper, indicating it may be from a vendor. The combination of condiments enhances the visual appeal of the hot dog, showcasing the various toppings that include pickles.",29,A hand holding up a hot dog in a bun with pickles.,A person is holding onto a hotdog in paper.,Someone is holding a hot dog with pickles and other condiments. ,A hand that is holding a hot dog with pickles.,hot dog with ketchup and mustard and pickles,hot dog with ketchup and mustard and pickles,20,0,"A hand is holding up a hot dog in a bun that is adorned with pickles, ketchup, and relish. The hot dog is partially wrapped in paper, indicating it may be from a vendor. The combination of condiments enhances the visual appeal of the hot dog, showcasing the various toppings that include pickles.","A hand is holding up a hot dog in a bun that is adorned with lettuce, ketchup, and mustard. The hot dog is partially wrapped in paper, indicating it may be from a vendor. The combination of condiments enhances the visual appeal of the hot dog, showcasing the various toppings that include lettuce.","A hand is holding up a hot dog in a bun that is adorned with pickles, ketchup, and mayonnaise. The hot dog is partially wrapped in paper, indicating it may be from a vendor. The combination of condiments enhances the visual appeal of the hot dog, showcasing the various toppings that include pickles.",0.8310546875,0.72265625,0.818359375,24.0,116.0,29.0
000000026435.jpg,"A plate features a baked-style dinner pie topped with meat, vegetables, and broccoli covered in sauce, with a broccoli casserole that is falling out of its crust. Accompanying this dish is another plate that showcases bread wrapped around broccoli, alongside a separate white plate containing an entree featuring broccoli.",1,"
A plate topped with meat and vegetables covered in sauce.",bread wrapped around broccoli on a plate ,A broccoli casserole is falling out of its crust.,A white play contains an entree featuring broccoli. ,"A plate with a baked style dinner pie on it, that has broccoli, meat and a sauce.","
A plate topped with meat and vegetables covered in sauce.",222,1,,,,,,,,,
000000406873.jpg,"A large elephant is seen with several people on its back, while a man assists a woman in getting onto the elephant. The man is helping another person climb up onto the back of the elephant, demonstrating support as one person helps another to reach the top.",6,"a large elephant that has people on its back
",A man helping a woman get on top of an elephant.,A man helping a person get onto the back of an elephant,One person helping another to get atop an elephant.,The man helps another person climb up onto the back of an elephant. ,A man helping a woman get on top of an elephant.,7,1,,,,,,,,,
000000353398.jpg,"The sculpture features a toaster placed on a kitchen counter, adorned with a face that gives it a quizzical expression. Surrounding the toaster are several silver spoons, arranged artistically, while one spoon is notably transformed into feet for the toaster. Additionally, a wrench is included in the composition, resting alongside the toaster and spoons.",1,a sculpture made of spoons and an old toaster,A toaster in a kitchen with a face on top of a counter.,A toaster has several silver spoons around it.,"A toaster, spoons and a wrench are on the counter.","The quizzical toaster with spoon feet also has facial features.
","The quizzical toaster with spoon feet also has facial features.
",1,0,"The sculpture features a blender placed on a kitchen counter, adorned with a face that gives it a quizzical expression. Surrounding the blender are several silver spoons, arranged artistically, while one spoon is notably transformed into feet for the blender. Additionally, a wrench is included in the composition, resting alongside the blender and spoons.","The sculpture features a toaster placed on a dining table, adorned with a face that gives it a quizzical expression. Surrounding the toaster are several silver spoons, arranged artistically, while one spoon is notably transformed into feet for the toaster. Additionally, a wrench is included in the composition, resting alongside the toaster and spoons.","The sculpture features a sandwich maker placed on a kitchen counter, adorned with a face that gives it a quizzical expression. Surrounding the sandwich maker are several silver spoons, arranged artistically, while one spoon is notably transformed into feet for the sandwich maker. Additionally, a wrench is included in the composition, resting alongside the sandwich maker and spoons.",0.75634765625,0.81640625,0.7275390625,1.0,1.0,2.0
000000214577.jpg,"A group of young people is gathered indoors at a party or social function, standing around while conversing and socializing. They are holding cups and glasses as they drink alcohol, engaging with each other in a lively atmosphere. The setting appears to encourage interaction among the attendees as they enjoy the occasion together.",57,Young people standing around in a room drinking alcohol.,People conversing and drinking at a party of some sort.,People socializing with each other at a function.,A group of people drinking at a gathering.,a group of people indoors talking while holding cups and glasses,People socializing with each other at a function.,24,0,"A group of young people is gathered outdoors at a party or social function, standing around while conversing and socializing. They are holding cups and glasses as they drink alcohol, engaging with each other in a lively atmosphere. The setting appears to encourage interaction among the attendees as they enjoy the occasion together.","A group of young people is gathered outdoors at a party or social function, standing around while conversing and socializing. They are holding cups and glasses as they drink alcohol, engaging with each other in a lively atmosphere. The setting appears to encourage interaction among the attendees as they enjoy the occasion together.","A group of young people is gathered outdoors at a party or social function, standing around while conversing and socializing. They are holding cups and glasses as they drink alcohol, engaging with each other in a lively atmosphere. The setting appears to encourage interaction among the attendees as they enjoy the occasion together.",0.54541015625,0.54541015625,0.54541015625,122.0,122.0,122.0
000000556203.jpg,"This description details a transit bus that is parked with its front door open, revealing a vibrant exterior covered in advertisements. The blue bus is positioned next to a bench, with several people visible in the background, contributing to the scene's urban environment.",4,a bus that is parked with a door open on it,This photo depicts a transit bus that is covered in advertisements.,A bus waits with its front door open.,a blue bus is parked by a bench,a bus resting next to a bench with people in the background,a bus that is parked with a door open on it,36,0,"This description details a transit bus that is parked with its front door closed, revealing a vibrant exterior covered in advertisements. The red bus is positioned next to a bench, with several people visible in the background, contributing to the scene's urban environment.","This description details a transit bus that is parked with its back door open, revealing a vibrant exterior covered in advertisements. The blue bus is positioned next to a bench, with several people visible in the background, contributing to the scene's urban environment.","This description details a transit bus that is parked with its rear door open, revealing a vibrant exterior covered in advertisements. The blue bus is positioned next to a bench, with several people visible in the background, contributing to the scene's urban environment.",0.71044921875,0.7822265625,0.7783203125,11.0,4.0,4.0
